iso3,year,wb_life_expectancy,wb_physicians_per_1000,wb_nurses_midwives_per_1000,wb_health_exp_per_capita_usd,wb_immunization_dpt,wb_immunization_measles,wb_undernourished_pct,wb_tb_incidence_per_100k,wb_population,wb_crude_birth_rate,wb_gdp_per_capita,wb_sanitation_pct
BRN,2000,74.017,1.029,3.971,519.05047607,99,99,,231,326424,19.803,20130.2572346624,72.7148465774726
BRN,2001,74.209,,,474.11706543,97,99,,146,333345,19.298,18287.8272281914,73.9314819787646
BRN,2002,74.365,1.176,6.234,482.52624512,94,99,,140,340099,18.685,18621.2922577525,75.1481173800566
BRN,2003,74.509,,,545.55560303,92,98,,116,346637,18.036,20677.9001143188,76.3647527813482
BRN,2004,74.603,1.312,5.455,630.73266602,92,99,,94,352911,17.365,24423.0946995548,77.5813881826402
BRN,2005,74.683,1.087,5.589,657.31945801,94,98,,77,358916,16.713,29386.2703822862,78.7980235839323
BRN,2006,74.753,1.094,5.402,664.74499512,97,97,,91,364663,16.262,34674.7995236452,80.0146589852238
BRN,2007,74.793,1.06,5.163,710.42297363,99,97,,90,370873,15.943,36217.3290706015,81.2312943865159
BRN,2008,74.814,1.493,5.138,792.01367188,98,99,,92,377793,16.015,42156.5685838672,82.4479297878079
BRN,2009,74.814,1.156,5.107,739.28015137,99,99,,84,384952,16.241,30946.4673773828,83.6645651890999
BRN,2010,74.82,1.435,7.41,795.97766113,95,94,,90,392332,16.577,34937.5555357155,84.8812005903915
BRN,2011,74.835,1.522,7.857,864.63787842,97,91,,84,399389,16.966,46382.8274255349,86.0978359916835
BRN,2012,74.843,1.469,8.168,869.36553955,95,95,,86,405557,17.096,46968.5971164922,87.3144713929755
BRN,2013,74.854,1.595,7.408,835.32452393,99,96,,73,411202,16.913,44003.0644273461,88.5311067942671
BRN,2014,74.862,1.485,6.19,785.41210938,99,97,,66,416750,16.627,41026.5084247957,89.7477421955591
BRN,2015,74.88,1.75,6.528,731.04980469,99,96,,69,422212,16.239,30625.1287744656,90.9643775968511
BRN,2016,74.905,,6.354,679.46929932,99,98,,75,427564,15.785,26663.2972950602,92.1810129981427
BRN,2017,74.943,1.578,5.982,636.22973633,99,97,,71,432772,15.334,28024.3824580252,93.3976483994347
BRN,2018,74.992,1.763,6.482,748.69073486,99,99,,75,437810,14.924,30988.1190267227,94.6142838007268
BRN,2019,75.049,,,678.81982422,99,97,,71,442680,14.572,30426.5730656528,95.8309192020188
IDN,2000,66.292,,,15.39148712,75,76,,370,216077790,21.688,763.711124950924,41.5831787269392
IDN,2001,66.583,,,16.8734417,76,76,18.1,369,219097902,21.386,732.307093405708,43.534313765172
