country,iso3,year,crude_birth_rate,crude_death_rate,govt_health_capex_musd,hiv_deaths,hiv_prevalence,immunization_dpt,immunization_measles,infant_mortality,life_expectancy,life_expectancy_female,life_expectancy_male,malaria_cases,maternal_mortality,nurses_midwives_per_1000,pharma_workers_per_1000,physicians_per_1000,tb_prevalence,under5_mortality,undernourished_pct,underweight_children_pct
Brunei Darussalam,BRN,1991,,,,,,,,,,,,,,,,,,,5.0,
Brunei Darussalam,BRN,1992,,,,,,,,,,,,,,,,,,,5.0,
Brunei Darussalam,BRN,1993,,,,,,,,,,,,,,,,,,,5.0,
Brunei Darussalam,BRN,1994,,,,,,,,,,,,,,,,,,,5.0,
Brunei Darussalam,BRN,1995,,,,,,,,,,,,,,,,,,,5.0,
Brunei Darussalam,BRN,1996,,,,,,,,,,,,,,,,,,,5.0,
Brunei Darussalam,BRN,1997,,,,,,,,,,,,,,,,,,,5.0,
Brunei Darussalam,BRN,1998,,,,,,,,,,,,,,,,,,,5.0,
Brunei Darussalam,BRN,1999,,,,,,,,,,,,,,,,,,,5.0,
Brunei Darussalam,BRN,2000,,,13.3,,,,,,,,,,,3.921,0.272,1.016,,,5.0,38.9
Brunei Darussalam,BRN,2001,,,12.8,,,,,,,,,,,,,,,,5.0,
Brunei Darussalam,BRN,2002,,,12.8,,,,,,,,,,,6.174,0.087,1.165,,,5.0,
Brunei Darussalam,BRN,2003,,,13.2,,,,,,,,,,,,,,,,5.0,
Brunei Darussalam,BRN,2004,19.9,2.8,13.6,,,91.7,99.0,8.8,76.05,77.5,74.6,,,5.412,0.115,1.302,,9.8,5.0,
Brunei Darussalam,BRN,2005,18.7,2.9,13.8,,,99.7,97.4,7.4,75.75,77.3,74.2,,14.4,5.543,0.113,1.078,224.0,9.5,5.0,35.2
Brunei Darussalam,BRN,2006,17.0,2.9,14.5,,,100.0,100.0,6.6,76.7,77.5,75.9,,30.4,5.351,0.111,1.084,240.0,9.2,5.0,
Brunei Darussalam,BRN,2007,16.2,3.0,19.9,,,99.0,96.8,7.6,76.5,77.8,75.2,,34.2,5.114,0.112,1.05,272.0,9.5,5.0,
Brunei Darussalam,BRN,2008,17.1,2.9,21.2,,,99.0,97.0,7.0,78.19999999999999,79.8,76.6,,0.0,5.097,0.118,1.481,286.0,9.5,5.0,
Brunei Darussalam,BRN,2009,17.4,3.1,20.6,,,99.0,99.0,7.4,77.5,77.9,77.1,,16.3,5.079,0.109,1.15,291.0,8.2,5.0,
Brunei Darussalam,BRN,2010,16.6,3.1,22.0,,,95.4,94.4,6.1,77.15,77.8,76.5,,15.6,7.391,0.109,1.431,311.0,7.2,5.0,29.1
Brunei Darussalam,BRN,2011,17.1,3.1,23.8,,,97.0,91.0,8.3,77.05,78.5,75.6,,,7.856,0.12,1.522,,10.0,5.0,
Brunei Darussalam,BRN,2012,17.3,3.0,20.8,,,95.4,98.6,9.3,78.1,79.9,76.3,,,8.195,0.412,1.47,,10.3,5.0,
Brunei Darussalam,BRN,2013,16.4,3.4,20.8,,,99.6,96.0,7.6,77.05000000000001,78.4,75.7,,27.0,,,,,9.7,5.0,
Brunei Darussalam,BRN,2014,16.7,3.6,20.5,,,99.0,97.0,7.4,77.35,78.8,75.9,,,,,,,8.7,5.0,
Brunei Darussalam,BRN,2015,,,18.9,,,,,,,,,,,,,,,,5.0,
Cambodia,KHM,1991,,,,,,,,,,,,,,,,,,,32.1,
Cambodia,KHM,1992,,,,,,,,,,,,,,,,,,,29.7,
Cambodia,KHM,1993,,,,,,,,,,,,,,,,,,,29.0,
Cambodia,KHM,1994,,,,,,,,,,,,,,,,,,,28.3,
Cambodia,KHM,1995,,,,,,,,,,,,,,,,,,,29.4,
Cambodia,KHM,1996,,,,,,,,,,,,,,1.055,0.045,0.113,,,32.0,42.6
Cambodia,KHM,1997,,,,,,,,,,,,,,,,,,,35.4,
Cambodia,KHM,1998,,,,,,,,,,,,,,1.004,0.053,0.147,,,36.8,
Cambodia,KHM,1999,,,,,,,,,,,,,,,,,,,35.3,
Cambodia,KHM,2000,,,,7400.0,1.6,,,,,,,,,0.912,0.046,0.168,,,32.0,39.5
Cambodia,KHM,2001,,,,,,,,,,,,,,,,,,,28.5,
Cambodia,KHM,2002,,,,,,,,,,,,,,,,,,,25.9,
Cambodia,KHM,2003,,,0.9,,,,,,,,,,,,,,,,23.6,
Cambodia,KHM,2004,33.6,10.0,0.9,,,,80.0,76.0,60.3,63.4,57.2,800.0,,,,,510.0,,22.1,
Cambodia,KHM,2005,28.5,8.9,0.4,7600.0,1.1,,76.9,66.0,61.0,64.1,57.9,600.0,472.0,,,,676.0,83.0,20.8,28.4
Cambodia,KHM,2006,28.5,8.8,4.3,,,,78.0,,61.75,64.9,58.6,720.0,,,,,664.0,,19.6,
Cambodia,KHM,2007,26.4,9.0,133.4,,,82.0,79.0,70.0,62.449999999999996,65.6,59.3,,,,,,697.0,,18.3,
Cambodia,KHM,2008,24.7,8.3,203.4,,,82.0,80.0,60.0,63.15,66.3,60.0,,,0.842,0.041,0.244,693.0,,17.5,28.8
Cambodia,KHM,2009,24.7,8.2,169.6,,,94.0,81.0,60.0,63.85,67.0,60.7,,,0.851,0.039,0.237,681.0,,17.1,
Cambodia,KHM,2010,22.5,8.0,131.9,2600.0,0.8,92.0,81.9,44.9,64.55,67.7,61.4,407.0,206.0,0.853,0.038,0.229,,54.0,17.0,29.0
Cambodia,KHM,2011,,,148.1,,,94.0,93.0,36.0,65.2,68.4,62.0,,,0.87,,0.226,817.0,43.0,16.8,
Cambodia,KHM,2012,25.9,6.0,26.1,,,95.0,93.0,33.0,65.9,69.1,62.7,,,0.92,0.038,0.165,764.0,40.0,16.4,
Cambodia,KHM,2013,25.7,6.0,19.1,,,92.0,93.0,,66.6,69.8,63.4,,170.0,0.956,0.04,0.168,,,15.7,
Cambodia,KHM,2014,,,,,,97.0,94.0,,,,,,,,,,,,15.0,
Cambodia,KHM,2015,,,21.1,,,,,,,,,,,,,,,,14.2,
Cambodia,KHM,2016,,,,1800.0,0.6,,,,,,,,,,,,,,,
Indonesia,IDN,1991,,,,,,,,,,,,,,,,,,,19.7,
Indonesia,IDN,1992,,,,,,,,,,,,,,0.626,0.024,,,,19.0,29.8
Indonesia,IDN,1993,,,,,,,,,,,,,,,,0.058,,,18.1,
Indonesia,IDN,1994,,,,,,,,,,,,,,,,,,,16.8,
Indonesia,IDN,1995,,,,,,,,,,,,,,,,,,,15.6,30.3
Indonesia,IDN,1996,,,,,,,,,,,,,,,,,,,14.7,
Indonesia,IDN,1997,,,,,,,,,,,,,,,,,,,14.6,
Indonesia,IDN,1998,,,,,,,,,,,,,,,,,,,15.3,25.8
Indonesia,IDN,1999,,,,,,,,,,,,,,,,,,,16.2,22.8
Indonesia,IDN,2000,,,,1600.0,,,,,,,,,,,,,,,17.2,24.8
Indonesia,IDN,2001,,,399.6,,,,,,,,,,,,,,,,18.1,23.4
Indonesia,IDN,2002,,,515.5,,,,,,,,,,,,,,,,18.7,23.0
Indonesia,IDN,2003,,,1130.9,,,,,,,,,,,0.817,0.034,0.134,,,18.8,23.1
Indonesia,IDN,2004,20.2,7.2,1107.5,,,86.5,77.2,33.9,68.7,70.7,66.7,,,,,,245.0,,18.7,19.7
Indonesia,IDN,2005,20.1,7.3,597.6,8800.0,0.2,84.6,72.5,28.9,69.1,71.1,67.1,100.0,268.0,,,,260.0,45.0,18.8,24.4
Indonesia,IDN,2006,17.7,7.2,165.4,,,87.1,78.2,30.8,70.25,72.2,68.3,,,,,,,,18.8,
Indonesia,IDN,2007,18.7,6.3,99.8,,,86.4,75.9,,70.4,72.4,68.4,,,,,,,,18.5,19.6
Indonesia,IDN,2008,18.6,6.3,,,,86.1,75.5,,70.6,72.6,68.6,,,,,,,,17.7,
Indonesia,IDN,2009,18.2,6.3,,,,89.1,77.2,,70.69999999999999,72.6,68.8,,,0.815,0.045,0.145,,,15.9,
Indonesia,IDN,2010,18.2,7.0,1034.1,23000.0,0.4,89.8,77.7,34.0,70.95,72.9,69.0,196.0,169.0,1.062,0.075,0.14,,42.0,13.5,18.6
Indonesia,IDN,2011,,,1140.2,,,89.1,76.9,34.0,69.4,71.1,67.7,,,,,,281.0,32.0,11.1,
Indonesia,IDN,2012,20.4,6.3,1310.4,,,90.0,78.0,27.2,69.4,71.1,67.7,,,1.365,0.103,0.201,297.0,40.0,9.3,
Indonesia,IDN,2013,18.8,6.2,1596.4,,,90.3,77.9,,,,,,190.0,,,,,,8.2,19.9
Indonesia,IDN,2014,,,1205.2,,,90.7,78.7,,,,,39.8,,,,,,,7.6,
Indonesia,IDN,2015,,,1737.2,,,,,,,,,,,,,,,,7.6,
Indonesia,IDN,2016,,,,38000.0,0.4,,,,,,,,,,,,,,,
Lao PDR,LAO,1991,,,,,,,,,,,,,,,,,,,42.8,
Lao PDR,LAO,1992,,,,,,,,,,,,,,,,,,,43.6,
Lao PDR,LAO,1993,,,,,,,,,,,,,,,,,,,44.1,39.8
Lao PDR,LAO,1994,,,,,,,,,,,,,,,,,,,44.5,35.9
Lao PDR,LAO,1995,,,,,,,,,,,,,,1.254,,0.341,,,44.1,
Lao PDR,LAO,1996,,,,,,,,,,,,,,,,,,,43.1,
Lao PDR,LAO,1997,,,,,,,,,,,,,,,,,,,41.8,
Lao PDR,LAO,1998,,,,,,,,,,,,,,,,,,,41.1,
Lao PDR,LAO,1999,,,,,,,,,,,,,,,,,,,40.0,
Lao PDR,LAO,2000,,,,,,,,,,,,,,1.021,,0.284,,,39.2,36.4
Lao PDR,LAO,2001,,,,,,,,,,,,,,,,,,,37.9,
Lao PDR,LAO,2002,,,,,,,,,,,,,,,,,,,36.7,
Lao PDR,LAO,2003,,,,,,,,,,,,,,,,,,,34.8,
Lao PDR,LAO,2004,34.8,12.2,,,,,36.0,86.0,,,,,,0.99,,0.353,,,32.2,
Lao PDR,LAO,2005,34.7,9.8,,,0.2,,69.0,70.0,61.0,63.0,59.0,,405.0,0.996,,0.281,,97.6,29.5,
Lao PDR,LAO,2006,33.7,9.4,,,,,48.0,67.2,65.15,66.4,63.9,,,,,,4269.0,93.0,26.9,31.6
Lao PDR,LAO,2007,32.6,9.1,,,,50.0,40.0,64.4,65.7,67.0,64.4,,,,,,,88.6,25.6,
Lao PDR,LAO,2008,31.6,8.7,,,,50.0,40.0,61.8,66.2,67.5,64.9,,,,,,,84.4,24.7,
Lao PDR,LAO,2009,30.7,8.4,,,,57.0,59.0,59.2,66.7,68.0,65.4,,,0.865,,0.197,,80.4,24.2,
Lao PDR,LAO,2010,22.8,6.3,23.1,,0.3,74.0,78.0,56.6,64.7,66.7,62.7,,280.0,,,,,76.4,22.8,
Lao PDR,LAO,2011,,,14.4,,,78.0,69.0,68.0,67.7,68.9,66.5,,,,,,540.0,79.0,21.4,26.5
Lao PDR,LAO,2012,28.1,7.4,15.4,,,79.0,72.0,51.5,,,,,,0.862,0.114,0.179,514.0,68.4,20.1,
Lao PDR,LAO,2013,27.2,7.0,10.1,,,89.0,82.0,48.9,,,,,220.0,,,,,64.3,19.4,
Lao PDR,LAO,2014,,,18.6,,,,87.0,,,,,,,,,,,,18.9,
Lao PDR,LAO,2015,,,25.2,,,,,,,,,,,,,,,,18.5,
Lao PDR,LAO,2016,,,,,0.3,,,,,,,,,,,,,,,
Malaysia,MYS,1990,,,,,,,,,,,,,,,,,,,,22.1
Malaysia,MYS,1991,,,,,,,,,,,,,,,,,,,5.1,23.1
Malaysia,MYS,1992,,,,,,,,,,,,,,,,,,,5.0,22.6
Malaysia,MYS,1993,,,,,,,,,,,,,,,,,,,5.0,20.5
Malaysia,MYS,1994,,,,,,,,,,,,,,,,,,,5.0,19.7
Malaysia,MYS,1995,,,,,,,,,,,,,,,,,,,5.0,17.7
Malaysia,MYS,1996,,,,,,,,,,,,,,,,,,,5.0,
Malaysia,MYS,1997,,,,,,,,,,,,,,,,,,,5.0,
Malaysia,MYS,1998,,,,,,,,,,,,,,,,,,,5.0,
Malaysia,MYS,1999,,,,,,,,,,,,,,,,,,,5.0,16.7
Malaysia,MYS,2000,,,362.1,7700.0,0.7,,,,,,,,,1.658,0.1,0.689,,,5.0,
Malaysia,MYS,2001,,,445.3,,,,,,,,,,,,,,,,5.0,
Malaysia,MYS,2002,,,432.1,,,,,,,,,,,1.778,0.118,0.697,,,5.0,
Malaysia,MYS,2003,,,740.8,,,,,,,,,,,,,,,,5.0,
Malaysia,MYS,2004,19.1,4.5,613.2,,,94.2,71.2,6.5,,,,24.1,,,,,60.0,,5.0,
Malaysia,MYS,2005,18.5,4.5,335.3,8400.0,0.7,95.3,,6.6,73.80000000000001,76.2,71.4,21.0,28.0,,,,60.4,8.5,5.0,
Malaysia,MYS,2006,18.1,4.5,372.4,,,96.4,65.4,6.1,73.9,76.3,71.5,19.7,27.5,,,,62.1,7.9,5.0,12.9
Malaysia,MYS,2007,17.6,4.4,448.6,,,96.0,87.5,6.3,73.9,76.3,71.5,20.1,29.0,,0.171,,62.2,7.9,5.0,
Malaysia,MYS,2008,20.4,4.5,520.1,,,96.0,94.3,6.2,74.0,76.4,71.6,26.8,27.3,2.678,,0.923,63.5,8.0,5.0,
Malaysia,MYS,2009,20.0,4.5,782.8,,,95.0,96.9,6.9,74.05,76.5,71.6,,27.0,,,,64.9,8.5,5.0,
Malaysia,MYS,2010,20.3,4.7,1199.9,8500.0,0.6,94.0,96.1,6.8,74.5,77.1,71.9,25.1,26.1,3.208,0.394,1.173,68.4,8.5,5.0,
Malaysia,MYS,2011,17.1,4.6,717.3,,,99.0,95.2,6.6,74.6,77.1,72.1,23.5,26.2,3.397,0.434,1.281,101.0,,5.0,
Malaysia,MYS,2012,17.2,4.7,666.0,,,99.0,95.5,6.6,74.75,77.2,72.3,,25.6,,,,101.0,9.0,5.0,
Malaysia,MYS,2013,,4.7,581.1,,,97.0,95.3,,75.05000000000001,77.4,72.7,,29.0,,,,,,5.0,
Malaysia,MYS,2014,,,458.9,,,93.0,94.0,,,,,,,,,,,,5.0,
Malaysia,MYS,2015,,,367.2,,,,,,,,,,,,,,,,5.0,
Malaysia,MYS,2016,,,,7000.0,0.4,,,,,,,,,,,,,,,
Myanmar,MMR,1990,,,,,,,,,,,,,,,,,,,,32.5
Myanmar,MMR,1991,,,,,,,,,,,,,,,,,,,62.6,37.0
Myanmar,MMR,1992,,,,,,,,,,,,,,,,,,,62.7,
Myanmar,MMR,1993,,,,,,,,,,,,,,,,,,,62.5,
Myanmar,MMR,1994,,,,,,,,,,,,,,,,,,,61.6,31.2
Myanmar,MMR,1995,,,,,,,,,,,,,,,,,,,60.7,38.7
Myanmar,MMR,1996,,,,,,,,,,,,,,,,,,,58.8,
Myanmar,MMR,1997,,,,,,,,,,,,,,,,,,,57.0,28.1
Myanmar,MMR,1998,,,,,,,,,,,,,,,,,,,55.3,
Myanmar,MMR,1999,,,,,,,,,,,,,,,,,,,54.2,
Myanmar,MMR,2000,,,6.9,8300.0,0.8,,,,,,,,,,,,,,52.4,30.1
Myanmar,MMR,2001,,,7.2,,,,,,,,,,,,,,,,49.6,
Myanmar,MMR,2002,,,21.8,,,,,,,,,,,,,,,,46.3,
Myanmar,MMR,2003,,,12.9,,,,,,,,,,,,,,,,42.9,29.6
Myanmar,MMR,2004,23.2,11.2,13.7,,,82.0,78.0,81.0,63.8,65.5,62.1,14.0,,,0.003,0.359,,,39.9,
Myanmar,MMR,2005,19.5,9.5,7.8,16000.0,0.9,73.0,72.0,46.5,64.05,65.8,62.3,10.8,250.0,0.731,,0.372,647.0,70.8,36.9,
Myanmar,MMR,2006,17.3,9.4,8.8,,,82.0,78.0,46.3,64.55000000000001,66.4,62.7,10.5,,0.77,,0.407,,66.2,33.7,
Myanmar,MMR,2007,18.2,9.7,8.1,,,86.0,81.0,46.5,65.85,68.1,63.6,9.0,,0.791,,0.43,,64.3,30.1,
Myanmar,MMR,2008,20.5,9.8,8.9,,,85.0,82.0,29.5,66.25,68.3,64.2,11.7,,0.812,,0.465,564.0,40.7,26.4,
Myanmar,MMR,2009,20.3,9.6,15.1,,,90.0,87.0,27.2,66.45,68.4,64.5,10.0,,0.843,,0.478,544.0,36.5,23.0,22.6
Myanmar,MMR,2010,17.3,8.6,27.8,16000.0,0.9,90.0,88.0,27.1,66.6,68.6,64.6,11.7,233.0,0.874,,0.511,525.0,34.9,20.2,
Myanmar,MMR,2011,,,35.2,,,83.5,84.9,27.0,66.80000000000001,68.7,64.9,11.7,,0.901,,0.539,506.0,33.9,18.0,
Myanmar,MMR,2012,17.4,8.5,236.4,,,85.0,84.0,26.0,68.05,69.5,66.6,8.1,,0.93,,0.568,489.0,29.6,16.5,
Myanmar,MMR,2013,17.2,8.5,219.4,,,90.0,86.0,24.3,68.7,69.9,67.5,6.8,200.0,,,,473.0,,15.5,
Myanmar,MMR,2014,,,337.4,,,92.0,88.0,,,,,4.1,,,,,457.0,,14.9,
Myanmar,MMR,2015,,,297.5,,,,,,,,,,,,,,,,14.2,
Myanmar,MMR,2016,,,,7800.0,0.8,,,,,,,,,,,,,,,
Philippines,PHL,1990,,,,,,,,,,,,,,,,,,,,29.9
Philippines,PHL,1991,,,,,,,,,,,,,,,,,,,26.3,
Philippines,PHL,1992,,,,,,,,,,,,,,,,,,,27.0,29.8
Philippines,PHL,1993,,,,,,,,,,,,,,,,,,,26.4,26.3
Philippines,PHL,1994,,,,,,,,,,,,,,,,,,,26.0,
Philippines,PHL,1995,,,,,,,,,,,,,,,,,,,24.7,
Philippines,PHL,1996,,,,,,,,,,,,,,,,,,,23.7,
Philippines,PHL,1997,,,,,,,,,,,,,,,,,,,22.8,
Philippines,PHL,1998,,,,,,,,,,,,,,,,,,,22.7,28.3
Philippines,PHL,1999,,,,,,,,,,,,,,,,,,,22.2,
Philippines,PHL,2000,,,11.1,,,,,,,,,,,2.073,0.032,0.568,,,21.3,
Philippines,PHL,2001,,,9.7,,,,,,,,,,,,,,,,20.3,
Philippines,PHL,2002,,,15.0,,,,,,,,,,,5.916,0.57,1.112,,,19.7,
Philippines,PHL,2003,,,13.5,,,,,,,,,,,,,,,,19.2,20.7
Philippines,PHL,2004,24.6,5.1,12.6,,,,80.0,35.0,67.1,70.1,64.1,,,5.774,0.587,1.11,293.0,40.0,18.6,
Philippines,PHL,2005,25.6,5.1,13.8,,,,80.0,27.0,67.1,70.1,64.1,56.1,144.0,,,,162.2,34.0,17.6,
Philippines,PHL,2006,24.1,5.6,7.1,,,,92.0,25.0,68.85,71.6,66.1,40.7,,,,,151.5,32.0,16.4,
Philippines,PHL,2007,25.8,4.8,31.1,,,87.0,92.0,23.0,68.85,71.6,66.1,41.0,,,,,151.6,,15.0,
Philippines,PHL,2008,24.7,4.8,34.1,,,87.0,92.0,24.5,68.85,71.6,66.1,26.2,,,,,273.1,,13.8,20.7
Philippines,PHL,2009,24.4,4.8,95.8,,,87.0,88.0,23.0,68.85,71.6,66.1,21.6,,,,,340.4,,13.0,
Philippines,PHL,2010,25.1,5.8,122.2,,,87.0,88.0,24.5,68.85,71.6,66.1,21.0,129.0,,,,,36.0,13.0,
Philippines,PHL,2011,,,187.9,,,81.0,79.0,23.9,70.35,73.1,67.6,9.8,,,0.889,,292.4,25.0,13.4,20.2
Philippines,PHL,2012,24.6,6.0,215.4,,,86.0,85.0,27.0,65.2,,65.2,,,,,,461.0,,13.9,
Philippines,PHL,2013,24.4,6.0,265.9,,,98.0,90.0,20.0,68.80000000000001,72.2,65.4,,120.0,,,,,,14.0,19.9
Philippines,PHL,2014,,,294.9,,,86.0,88.0,,,,,,,,,,,,13.9,
Philippines,PHL,2015,,,299.3,,,,,,,,,,,,,,,,13.5,
Philippines,PHL,2016,,,,,0.1,,,,,,,,,,,,,,,
Singapore,SGP,1999,,,,,,,,,,,,,,4.172,0.273,1.393,,,,
Singapore,SGP,2000,,,,,,,,,,,,,,,,,,,,3.3
Singapore,SGP,2001,,,,,,,,,,,,,,4.324,0.284,1.428,,,,
Singapore,SGP,2003,,,,,,,,,,,,,,,0.301,1.5,,,,
Singapore,SGP,2004,11.4,4.4,,,,,94.0,2.0,79.55,82.0,77.1,,,4.418,0.294,1.484,40.0,3.0,,
Singapore,SGP,2005,10.4,4.4,50.9,,,,96.0,2.1,80.05,82.5,77.6,3.9,13.3,4.486,0.296,1.501,37.2,2.9,,
Singapore,SGP,2006,10.1,4.3,107.1,,,,93.0,2.6,80.19999999999999,82.6,77.8,4.1,10.4,4.535,0.308,1.502,35.9,2.9,,
Singapore,SGP,2007,10.3,4.5,174.8,,,96.0,95.0,2.1,80.5,82.9,78.1,3.4,7.6,4.719,0.313,1.56,35.0,2.9,,
Singapore,SGP,2008,10.2,4.4,307.1,,,96.0,95.0,2.1,80.85,83.3,78.4,3.1,7.5,4.992,0.319,1.617,40.3,2.7,,
Singapore,SGP,2009,9.9,4.3,488.8,,,97.0,95.0,2.2,81.30000000000001,83.7,78.9,3.4,0.0,5.396,0.334,1.676,39.4,2.8,,
Singapore,SGP,2010,9.3,4.4,355.7,,,97.0,95.0,2.0,81.6,84.0,79.2,3.7,2.6,5.777,0.357,1.736,39.9,2.9,,
Singapore,SGP,2011,9.5,4.5,360.2,,,96.0,95.0,2.0,81.8,84.1,79.5,2.9,,5.194,0.388,1.747,41.0,2.9,,
Singapore,SGP,2012,10.1,4.5,484.1,,,96.0,95.0,1.8,82.05,84.3,79.8,2.7,2.0,5.55,0.374,1.82,41.5,2.7,,
Singapore,SGP,2013,9.3,4.6,577.8,,,96.0,95.0,2.0,82.3,84.5,80.1,2.1,3.0,5.649,0.404,1.913,37.6,2.6,,
Singapore,SGP,2014,9.8,4.7,905.3,,,96.0,94.0,1.8,82.7,84.9,80.5,1.1,2.0,,,,36.9,2.6,,
Singapore,SGP,2015,,,1027.8,,,,,,,,,,,,,,,,,
Thailand,THA,1991,,,,,,,,,,,,,,0.711,0.076,0.224,,,34.6,
Thailand,THA,1992,,,,,,,,,,,,,,,,,,,33.2,
Thailand,THA,1993,,,,,,,,,,,,,,0.801,0.081,0.234,,,32.6,16.3
Thailand,THA,1994,,,,,,,,,,,,,,,,,,,30.8,
Thailand,THA,1995,,,,,,,,,,,,,,0.916,0.099,0.239,,,27.9,15.4
Thailand,THA,1996,,,,,,,,,,,,,,,,,,,24.8,
Thailand,THA,1997,,,,,,,,,,,,,,0.931,0.098,0.274,,,21.6,
Thailand,THA,1998,,,,,,,,,,,,,,1.04,0.097,0.293,,,20.1,
Thailand,THA,1999,,,,,,,,,,,,,,1.097,0.098,0.293,,,19.3,
Thailand,THA,2000,,,247.3,51000.0,1.8,,,,,,,,,,,,,,19.0,
