year,country,iso3,crude_birth_rate,crude_death_rate,govt_health_capex_musd,hiv_deaths,hiv_prevalence,immunization_dpt,immunization_measles,infant_mortality,life_expectancy,life_expectancy_female,life_expectancy_male,malaria_cases,maternal_mortality,nurses_midwives_per_1000,pharma_workers_per_1000,physicians_per_1000,tb_prevalence,under5_mortality,undernourished_pct,underweight_children_pct,wb_population,wb_gdp_per_capita,wb_sanitation_pct,wb_agriculture_pct_gdp,log_capex_per_capita,log_gdp_per_capita,sanitation_pct,agriculture_pct_gdp
2004,Brunei Darussalam,BRN,19.9,2.8,13.6,,,91.7,99.0,8.8,76.05,77.5,74.6,,,5.412,0.115,1.302,,9.8,5.0,,352911.0,24423.0946995548,77.5813881826402,1.17049480864283,3.677227538816638,10.10332541172274,77.5813881826402,1.17049480864283
2005,Brunei Darussalam,BRN,18.7,2.9,13.8,,,99.7,97.4,7.4,75.75,77.3,74.2,,14.4,5.543,0.113,1.078,224.0,9.5,5.0,35.2,358916.0,29386.2703822862,78.7980235839323,0.974611267785546,3.675011432822002,10.288316879369436,78.7980235839323,0.974611267785546
2006,Brunei Darussalam,BRN,17.0,2.9,14.5,,,100.0,100.0,6.6,76.7,77.5,75.9,,30.4,5.351,0.111,1.084,240.0,9.2,5.0,,364663.0,34674.7995236452,80.0146589852238,0.754742504053329,3.7077684250535605,10.45379730255658,80.0146589852238,0.754742504053329
2007,Brunei Darussalam,BRN,16.2,3.0,19.9,,,99.0,96.8,7.6,76.5,77.8,75.2,,34.2,5.114,0.112,1.05,272.0,9.5,5.0,,370873.0,36217.3290706015,81.2312943865159,0.726342513402553,4.001080621148935,10.497320597590303,81.2312943865159,0.726342513402553
2008,Brunei Darussalam,BRN,17.1,2.9,21.2,,,99.0,97.0,7.0,78.19999999999999,79.8,76.6,,0.0,5.097,0.118,1.481,286.0,9.5,5.0,,377793.0,42156.5685838672,82.4479297878079,0.69216612734937,4.04507353638729,10.649169510391554,82.4479297878079,0.69216612734937
2009,Brunei Darussalam,BRN,17.4,3.1,20.6,,,99.0,99.0,7.4,77.5,77.9,77.1,,16.3,5.079,0.109,1.15,291.0,8.2,5.0,,384952.0,30946.4673773828,83.6645651890999,0.979917546380161,3.9984422372264747,10.340046445277704,83.6645651890999,0.979917546380161
2010,Brunei Darussalam,BRN,16.6,3.1,22.0,,,95.4,94.4,6.1,77.15,77.8,76.5,,15.6,7.391,0.109,1.431,311.0,7.2,5.0,29.1,392332.0,34937.5555357155,84.8812005903915,0.733349877488411,4.0443654376935,10.461346241554581,84.8812005903915,0.733349877488411
2011,Brunei Darussalam,BRN,17.1,3.1,23.8,,,97.0,91.0,8.3,77.05,78.5,75.6,,,7.856,0.12,1.522,,10.0,5.0,,399389.0,46382.8274255349,86.0978359916835,0.572775314042004,4.1041467846016815,10.744706130594299,86.0978359916835,0.572775314042004
2012,Brunei Darussalam,BRN,17.3,3.0,20.8,,,95.4,98.6,9.3,78.1,79.9,76.3,,,8.195,0.412,1.47,,10.3,5.0,,405557.0,46968.5971164922,87.3144713929755,0.655156683935105,3.956757118075665,10.757255801519749,87.3144713929755,0.655156683935105
2013,Brunei Darussalam,BRN,16.4,3.4,20.8,,,99.6,96.0,7.6,77.05000000000001,78.4,75.7,,27.0,,,,,9.7,5.0,,411202.0,44003.0644273461,88.5311067942671,0.684937439812632,3.943200139392033,10.692037281983017,88.5311067942671,0.684937439812632
2014,Brunei Darussalam,BRN,16.7,3.6,20.5,,,99.0,97.0,7.4,77.35,78.8,75.9,,,,,,,8.7,5.0,,416750.0,41026.5084247957,89.7477421955591,0.862827317122997,3.915819030750826,10.621998057898852,89.7477421955591,0.862827317122997
2004,Cambodia,KHM,33.6,10.0,0.9,,1.2000000000000002,,80.0,76.0,60.3,63.4,57.2,800.0,,0.877,0.0435,0.20600000000000002,510.0,,22.1,,13244731.0,444.199067529081,19.4886033113327,26.6286627547039,0.06574237428507355,6.098521524900277,19.4886033113327,26.6286627547039
2005,Cambodia,KHM,28.5,8.9,0.4,7600.0,1.1,,76.9,66.0,61.0,64.1,57.9,600.0,472.0,0.86825,0.042875,0.2155,676.0,83.0,20.8,28.4,13439202.0,525.797325120926,22.4997083184805,27.4457888917427,0.029329331235405834,6.266815892257386,22.4997083184805,27.4457888917427
2006,Cambodia,KHM,28.5,8.8,4.3,,1.04,,78.0,,61.75,64.9,58.6,720.0,,0.8594999999999999,0.04225,0.225,664.0,,19.6,,13639028.0,612.252648550727,25.5284652809793,26.2857429362019,0.27404328568175845,6.418777002005305,25.5284652809793,26.2857429362019
2007,Cambodia,KHM,26.4,9.0,133.4,,0.9800000000000001,82.0,79.0,70.0,62.449999999999996,65.6,59.3,,,0.85075,0.041625,0.2345,697.0,,18.3,,13841770.0,731.692295125426,28.5752843908418,25.4656283422573,2.3643850974427774,6.596725825381715,28.5752843908418,25.4656283422573
2008,Cambodia,KHM,24.7,8.3,203.4,,0.92,82.0,80.0,60.0,63.15,66.3,60.0,,,0.842,0.041,0.244,693.0,,17.5,28.8,14053479.0,866.283999789749,31.6569911125652,28.0340869915092,2.7391149572094915,6.765366489220629,31.6569911125652,28.0340869915092
2009,Cambodia,KHM,24.7,8.2,169.6,,0.8600000000000001,94.0,81.0,60.0,63.85,67.0,60.7,,,0.851,0.039,0.237,681.0,,17.1,,14276810.0,875.748936193569,34.8431292661324,28.0893239418879,2.5556294799163557,6.776220675667477,34.8431292661324,28.0893239418879
2010,Cambodia,KHM,22.5,8.0,131.9,2600.0,0.8,92.0,81.9,44.9,64.55,67.7,61.4,407.0,206.0,0.853,0.038,0.229,749.0,54.0,17.0,29.0,14500726.0,952.274616324008,38.0399288332331,27.8742916555508,2.312148843392672,6.859903021980445,38.0399288332331,27.8742916555508
2011,Cambodia,KHM,24.2,,148.1,,0.7666666666666667,94.0,93.0,36.0,65.2,68.4,62.0,,,0.87,0.038,0.226,817.0,43.0,16.8,,14722584.0,1088.98152823081,41.2469119068715,28.0358544598065,2.403278524933068,6.993916028502356,41.2469119068715,28.0358544598065
2012,Cambodia,KHM,25.9,6.0,26.1,,0.7333333333333334,95.0,93.0,33.0,65.9,69.1,62.7,,,0.92,0.038,0.165,764.0,40.0,16.4,,14945085.0,1192.80263041673,44.4635910579506,26.7953499375283,1.010288613455243,7.084898979130288,44.4635910579506,26.7953499375283
2013,Cambodia,KHM,25.7,6.0,19.1,,0.7,92.0,93.0,,66.6,69.8,63.4,,170.0,0.956,0.04,0.168,,,15.7,,15170208.0,1305.6600972686,47.6891050739855,24.447155140413,0.8149429007779055,7.175229616503199,47.6891050739855,24.447155140413
2004,Indonesia,IDN,20.2,7.2,1107.5,,,86.5,77.2,33.9,68.7,70.7,66.7,,,0.8166666666666667,0.035833333333333335,0.13583333333333333,245.0,,18.7,19.7,227926649.0,1126.84004447173,49.4772142680194,14.3357802955642,1.7679822447623192,7.02805961745645,49.4772142680194,14.3357802955642
