disease,country,year,forecast,lo80,hi80,ets_backtest_mae,naive_backtest_mae,method
tb,Brunei Darussalam,2015,311.0,298.4064651507212,323.5935348492788,29.159231775127484,24.0,naive
tb,Brunei Darussalam,2016,311.0,293.1900522179317,328.8099477820683,29.159231775127484,24.0,naive
tb,Brunei Darussalam,2017,311.0,289.1873577941598,332.8126422058402,29.159231775127484,24.0,naive
tb,Brunei Darussalam,2018,311.0,285.81293030144235,336.18706969855765,29.159231775127484,24.0,naive
tb,Brunei Darussalam,2019,311.0,282.84,339.16,29.159231775127484,24.0,naive
tb,Cambodia,2015,794.1563895857053,735.8389544222368,857.0893831743006,24.109024468312555,95.66666666666667,ets_log
tb,Cambodia,2016,802.8931194474551,743.934924881966,866.5175856432786,24.109024468312555,95.66666666666667,ets_log
tb,Cambodia,2017,809.9515687425782,750.4757012389153,874.1346793540105,24.109024468312555,95.66666666666667,ets_log
tb,Cambodia,2018,815.6429245127152,755.7496478229438,880.276480372695,24.109024468312555,95.66666666666667,ets_log
tb,Cambodia,2019,820.2247543881424,759.9954420443454,885.2209416236755,24.109024468312555,95.66666666666667,ets_log
tb,Indonesia,2015,295.6416452226497,290.27321846081725,301.10901690653657,5.526895100236762,11.166666666666666,ets_log
tb,Indonesia,2016,300.47085561132656,295.0150329220555,306.02723400860657,5.526895100236762,11.166666666666666,ets_log
tb,Indonesia,2017,305.24512368027035,299.7028993677659,310.8894961609325,5.526895100236762,11.166666666666666,ets_log
tb,Indonesia,2018,309.9630448573502,304.33543864441737,315.6943729043042,5.526895100236762,11.166666666666666,ets_log
tb,Indonesia,2019,314.62333343920585,308.91138831605855,320.440554839121,5.526895100236762,11.166666666666666,ets_log
tb,Lao PDR,2015,361.97596751430274,282.13734744843936,464.3273550107576,561.7767598326626,1251.6666666666667,ets_log
tb,Lao PDR,2016,253.9966043273947,197.9086565767812,325.90014269641455,561.7767598326626,1251.6666666666667,ets_log
tb,Lao PDR,2017,179.4088309530318,139.72688634235618,230.2802274801944,561.7767598326626,1251.6666666666667,ets_log
tb,Lao PDR,2018,127.52473572105183,99.25499172060682,163.76593742285365,561.7767598326626,1251.6666666666667,ets_log
tb,Lao PDR,2019,91.1851715475486,70.90852054217346,117.17940056584715,561.7767598326626,1251.6666666666667,ets_log
tb,Malaysia,2015,95.05599762152573,82.19323429694488,109.90751257648115,23.65365055149627,25.23333333333333,ets_log
tb,Malaysia,2016,100.59692016747456,86.99217733352071,116.30513439157787,23.65365055149627,25.23333333333333,ets_log
tb,Malaysia,2017,106.33700613609592,91.96361400180261,122.93271292182007,23.65365055149627,25.23333333333333,ets_log
tb,Malaysia,2018,112.27681614162914,97.10802984302732,129.79089546202331,23.65365055149627,25.23333333333333,ets_log
tb,Malaysia,2019,118.4166156699905,102.42565479035332,136.87998854810544,23.65365055149627,25.23333333333333,ets_log
tb,Myanmar,2015,444.539638619844,443.3626879206956,445.7197066215606,2.2351178904587905,33.0,ets_log
tb,Myanmar,2016,432.13048366768703,430.98631335285233,433.27768446211996,2.2351178904587905,33.0,ets_log
tb,Myanmar,2017,420.64418953968476,419.5303617519901,421.7609674409823,2.2351178904587905,33.0,ets_log
tb,Myanmar,2018,409.9978986701781,408.91219443146775,411.08647853374157,2.2351178904587905,33.0,ets_log
tb,Myanmar,2019,400.1176193373956,399.05801512825906,401.18003004218417,2.2351178904587905,33.0,ets_log
tb,Philippines,2015,622.3446078675128,415.0814342201305,932.8520496252996,62.727876145038145,64.2,ets_log
tb,Philippines,2016,791.163665500949,359.0185037381636,1742.030612105117,62.727876145038145,64.2,ets_log
tb,Philippines,2017,958.5868498432058,289.9797087742552,3163.5056154289364,62.727876145038145,64.2,ets_log
tb,Philippines,2018,1117.6643116160951,224.20818069697918,5555.680215659228,62.727876145038145,64.2,ets_log
tb,Philippines,2019,1263.713572940678,168.74947489907785,9421.71204391847,62.727876145038145,64.2,ets_log
tb,Singapore,2015,36.9,33.715997319934125,40.08400268006587,2.8705186867827215,2.6666666666666665,naive
tb,Singapore,2016,36.9,32.39714022721856,41.40285977278144,2.8705186867827215,2.6666666666666665,naive
tb,Singapore,2017,36.9,31.385145586690435,42.41485441330956,2.8705186867827215,2.6666666666666665,naive
tb,Singapore,2018,36.9,30.531994639868252,43.268005360131745,2.8705186867827215,2.6666666666666665,naive
tb,Singapore,2019,36.9,29.78035356683119,44.0196464331688,2.8705186867827215,2.6666666666666665,naive
tb,Thailand,2015,159.0,96.56426869171788,221.43573130828213,53.4325613773287,33.43333333333334,naive
tb,Thailand,2016,159.0,70.70254200714496,247.29745799285504,53.4325613773287,33.43333333333334,naive
tb,Thailand,2017,159.0,50.85814116633654,267.1418588336635,53.4325613773287,33.43333333333334,naive
tb,Thailand,2018,159.0,34.12853738343577,283.87146261656426,53.4325613773287,33.43333333333334,naive
tb,Thailand,2019,159.0,19.389460569769312,298.6105394302307,53.4325613773287,33.43333333333334,naive
tb,Vietnam,2015,218.0,76.75229620071187,359.24770379928816,127.68950028336606,121.66666666666667,naive
tb,Vietnam,2016,218.0,18.245581632988973,417.754418367011,127.68950028336606,121.66666666666667,naive
tb,Vietnam,2017,218.0,0.0,462.64819943280656,127.68950028336606,121.66666666666667,naive
tb,Vietnam,2018,218.0,0.0,500.49540759857626,127.68950028336606,121.66666666666667,naive
tb,Vietnam,2019,218.0,0.0,533.8394673609636,127.68950028336606,121.66666666666667,naive
malaria,Malaysia,2015,23.5,19.00211569735281,27.99788430264719,7.089653667987335,5.033333333333332,naive
malaria,Malaysia,2016,23.5,17.13903101721129,29.86096898278871,7.089653667987335,5.033333333333332,naive
malaria,Malaysia,2017,23.5,15.709435861248558,31.290564138751442,7.089653667987335,5.033333333333332,naive
malaria,Malaysia,2018,23.5,14.504231394705618,32.49576860529438,7.089653667987335,5.033333333333332,naive
malaria,Malaysia,2019,23.5,13.442424944351643,33.55757505564836,7.089653667987335,5.033333333333332,naive
malaria,Myanmar,2015,6.205810745799847,4.598838626243234,8.274014125162392,4.114168984462515,5.366666666666667,ets_log
malaria,Myanmar,2016,5.806620130037324,4.288671738668908,7.760248297484617,4.114168984462515,5.366666666666667,ets_log
malaria,Myanmar,2017,5.4368768861400945,4.001385147302472,7.284381791646653,4.114168984462515,5.366666666666667,ets_log
malaria,Myanmar,2018,5.094022002747425,3.734990527421366,6.843121111837637,4.114168984462515,5.366666666666667,ets_log
malaria,Myanmar,2019,4.775748271457137,3.4876952025342653,6.43349683739699,4.114168984462515,5.366666666666667,ets_log
malaria,Philippines,2015,9.918465827991596,8.03120570244984,12.200108597314095,2.88718345011114,8.733333333333333,ets_log
malaria,Philippines,2016,7.726248271121826,6.2179136064545855,9.549781147444353,2.88718345011114,8.733333333333333,ets_log
malaria,Philippines,2017,6.0055170084633565,4.7946112581606455,7.469466952895773,2.88718345011114,8.733333333333333,ets_log
malaria,Philippines,2018,4.648856809527902,3.672450181682884,5.829304115353204,2.88718345011114,8.733333333333333,ets_log
malaria,Philippines,2019,3.5745726902695387,2.7838563953040967,4.53052576850715,2.88718345011114,8.733333333333333,ets_log
malaria,Singapore,2015,1.1,0.4649972878448121,1.735002712155188,1.0957723191749558,0.9333333333333331,naive
malaria,Singapore,2016,1.1,0.20197055232643457,1.9980294476735656,1.0957723191749558,0.9333333333333331,naive
malaria,Singapore,2017,1.1,0.00014303960317940678,2.1998569603968208,1.0957723191749558,0.9333333333333331,naive
malaria,Singapore,2018,1.1,0.0,2.370005424310376,1.0957723191749558,0.9333333333333331,naive
malaria,Singapore,2019,1.1,0.0,2.5199092302757324,1.0957723191749558,0.9333333333333331,naive
malaria,Thailand,2015,33.0,26.092900502622925,39.907099497377075,11.225174767267895,9.06666666666667,naive
malaria,Thailand,2016,33.0,23.23188621414895,42.76811378585105,11.225174767267895,9.06666666666667,naive
malaria,Thailand,2017,33.0,21.036552737609448,44.96344726239055,11.225174767267895,9.06666666666667,naive
malaria,Thailand,2018,33.0,19.18580100524585,46.81419899475415,11.225174767267895,9.06666666666667,naive
malaria,Thailand,2019,33.0,17.555255996510226,48.444744003489774,11.225174767267895,9.06666666666667,naive
malaria,Vietnam,2015,51.6,41.26040434059436,61.93959565940564,14.041364650091516,3.599999999999999,naive
malaria,Vietnam,2016,51.6,36.977603589014564,66.22239641098544,14.041364650091516,3.599999999999999,naive
malaria,Vietnam,2017,51.6,33.691294988190805,69.5087050118092,14.041364650091516,3.599999999999999,naive
malaria,Vietnam,2018,51.6,30.920808681188724,72.27919131881129,14.041364650091516,3.599999999999999,naive
malaria,Vietnam,2019,51.6,28.47996124570723,74.72003875429277,14.041364650091516,3.599999999999999,naive
